"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2000";"Amersfoort (GA)";"2515";"16.1";"1320";"1195";"61.3";"57.1";"1.86";"2515";"16";"190";"603";"1122";"528";"55";"1";"2515";"1241";"878";"288";"108";"2515";"1927";"588";"";"";"";"";"08";"08"
"2000";"Utrecht (GA)";"5361";"14.6";"2721";"2640";"49.7";"44.1";"1.50";"5361";"63";"525";"1369";"2188";"1025";"185";"6";"5361";"2725";"1824";"531";"281";"5361";"3761";"1600";"";"";"";"";"09";"09"
"2000";"Amsterdam (GA)";"14053";"14.0";"7189";"6864";"51.2";"45.0";"1.55";"14053";"246";"1680";"3260";"5123";"3058";"662";"24";"14053";"7196";"4600";"1430";"827";"14053";"8190";"5863";"";"";"";"";"10";"10"
"2000";"Haarlem (GA)";"2415";"12.6";"1246";"1169";"52.8";"51.2";"1.66";"2415";"23";"151";"523";"1040";"576";"99";"3";"2415";"1089";"906";"311";"109";"2415";"1683";"732";"";"";"";"";"11";"11"
"2000";"Leiden (GA)";"3254";"13.0";"1655";"1599";"49.1";"47.5";"1.56";"3254";"32";"239";"816";"1401";"662";"101";"3";"3254";"1448";"1200";"452";"154";"3254";"2496";"758";"";"";"";"";"12";"12"
"2000";"'s-Gravenhage (GA)";"7692";"12.6";"3909";"3783";"50.7";"48.4";"1.63";"7692";"170";"969";"2026";"2785";"1447";"277";"18";"7692";"3742";"2547";"931";"472";"7692";"5060";"2632";"";"";"";"";"13";"13"
"2000";"Rotterdam (GA)";"12593";"12.7";"6449";"6144";"50.0";"48.2";"1.63";"12593";"363";"1915";"3557";"4322";"2069";"342";"25";"12593";"6042";"4118";"1559";"874";"12593";"8287";"4306";"";"";"";"";"14";"14"
"2000";"Dordrecht (GA)";"3288";"13.6";"1696";"1592";"55.5";"55.3";"1.86";"3288";"61";"382";"1044";"1280";"459";"60";"2";"3288";"1503";"1151";"429";"205";"3288";"2553";"735";"";"";"";"";"15";"15"
"2000";"Breda (GA)";"2040";"12.6";"1070";"970";"50.0";"48.4";"1.59";"2040";"37";"174";"476";"905";"391";"56";"1";"2040";"1034";"676";"255";"75";"2040";"1443";"597";"";"";"";"";"16";"16"
"2000";"Tilburg (GA)";"2956";"13.6";"1493";"1463";"52.1";"50.8";"1.67";"2956";"58";"277";"838";"1263";"452";"68";"-";"2956";"1467";"1010";"338";"141";"2956";"2065";"891";"";"";"";"";"17";"17"
"2000";"'s-Hertogenbosch (GA)";"2056";"13.3";"1043";"1013";"51.6";"49.6";"1.62";"2056";"27";"140";"521";"923";"383";"61";"1";"2056";"1019";"726";"242";"69";"2056";"1475";"581";"";"";"";"";"18";"18"
"2000";"Eindhoven (GA)";"3898";"12.8";"2020";"1878";"52.9";"51.2";"1.68";"3898";"56";"335";"1029";"1685";"711";"76";"6";"3898";"1986";"1361";"400";"151";"3898";"2880";"1018";"";"";"";"";"19";"19"
"2000";"Geleen/Sittard (GA)";"1339";"10.5";"661";"678";"44.2";"46.3";"1.53";"1339";"20";"91";"349";"612";"227";"39";"1";"1339";"662";"511";"121";"45";"1339";"1002";"337";"";"";"";"";"20";"20"
"2000";"Heerlen (GA)";"2127";"9.8";"1070";"1057";"41.0";"44.1";"1.53";"2127";"46";"313";"632";"793";"301";"41";"1";"2127";"1116";"761";"183";"67";"2127";"1489";"638";"";"";"";"";"21";"21"
"2000";"Maastricht (GA)";"1178";"9.6";"590";"588";"36.5";"38.3";"1.28";"1178";"27";"119";"307";"490";"202";"32";"1";"1178";"635";"400";"105";"38";"1178";"818";"360";"";"";"";"";"22";"22"
